file,source_sha256,output,output_sha256,width,height,format,source_bytes,output_bytes
po_mi_x_sf18_t.tga,8b8d96ddf9e649f0e8f634657d1bfe77d9f94a365f4ced542b82fe8d63fc05bc,po_mi_x_sf18_t.dds,3da7ead61c300bffe0db0e85f74954972bb131ce46a0c7476fe9ee58470854a5,16,32,DXT1,1554,384
po_mi_x_sf19_l.tga,ff465fde0d7433672938a70afcd1d7616f1f898be0402f5236c5af8f09aed26d,po_mi_x_sf19_l.dds,606b0a140315c52b65f5ff21791767f5301504fe93dd7f904d6ba3b267b58395,128,256,DXT1,98322,16512
po_mi_x_sf19_m.tga,2d4e69d5f0438fcfae570d8c20f1f03547ffa0e08b8fd29f1f36f54420d26c83,po_mi_x_sf19_m.dds,8ccb780d5b33d6d0315b398eac8bf16a4c7807c468208a106cc1d8dd2a21d1af,64,128,DXT1,24594,4224
po_mi_x_sf19_s.tga,0bd1b1449eb7654ef2d56ac5c27e00616e7550236c1c1a294635b061012bcf42,po_mi_x_sf19_s.dds,3f0b83d4bc0e5698512feb004e13fe06b5f234c0d279cc3df8d916e0e8c89812,32,64,DXT1,6162,1152
po_mi_x_sf19_t.tga,9a1a0d3c7f8739da96773e9630ae8aabead4c927c29628df91cc73055cfd6d56,po_mi_x_sf19_t.dds,f4d99987b36b2415c397b0214cd78dd9c5c4fe45e139d08cc4ff75be3d3d0f48,16,32,DXT1,1554,384
po_mi_x_sf20_l.tga,dd4476605a542256ed7decb0b3cf4143458e65d1f5bfbaba35e5bc02e0ac0b53,po_mi_x_sf20_l.dds,08a55acc936cea02a2e1af602b645e92a15c795a8bf16b53d37022a01d51efc0,128,256,DXT1,98322,16512
po_mi_x_sf20_m.tga,8e8ce911d0e0ce9a8a61bfabb986f1161d22b2f5d89776a78933e1ea24218691,po_mi_x_sf20_m.dds,0c0add027683644ea646e7a746fa8aef25f0c8c80ca7520b8bf165c73f660019,64,128,DXT1,24594,4224
po_mi_x_sf20_s.tga,362bf5b62d85d8d87a53d81fa9a979264fe186071933361ad95b85fb397c1e1e,po_mi_x_sf20_s.dds,1f4195419cb970e753d7afb81c1d6180235133c7203d6a883e28eba7b415552b,32,64,DXT1,6162,1152
po_mi_x_sf20_t.tga,a00b12973e51c43446a6b1d7b00303c6ca778404e2440a17d48a3f98dff7cedf,po_mi_x_sf20_t.dds,6e4ca8f20159f20b0f2c172a5f8c9b5b80320a95cbeb8079c9bf90927d4e52af,16,32,DXT1,1554,384
po_mi_x_sf21_l.tga,897887f483d4849f65ed9c229846238df38277a51363e8b6a4567c4e27db308d,po_mi_x_sf21_l.dds,bb5cc0f72751c6df2b9251c14b6012a6bf1353dbad055407fd738dc208ba2110,128,256,DXT1,98322,16512
po_mi_x_sf21_m.tga,1dfff336d543e6259a9c61a56912e90c07170862388c966df62fd4c190eb3ec4,po_mi_x_sf21_m.dds,17acdb53ffc3cb827dda2a77f0e11c9413faf03f40856946fa64cbc024526d61,64,128,DXT1,24594,4224
po_mi_x_sf21_s.tga,3621e19dc8712ef19bd2045d95fb2a64a81dfb9ce18b1a4e176a954f8d98e62c,po_mi_x_sf21_s.dds,9044f791fbfe54ebc77cd43b71591494187973eb5f426a26b6770db15e30a65d,32,64,DXT1,6162,1152
po_mi_x_sf21_t.tga,04e2ea681cdc663582bb9f7bb22f0ab4c9aaf5bdc6e9799b38c75e0f37b17e2f,po_mi_x_sf21_t.dds,33f528f69b7e52a1d04004e5c575cff4a227206e545726bbc8bc5b0e01d76760,16,32,DXT1,1554,384
po_mi_x_sf23_l.tga,a6084afc6c2acb30b31417af78e92240f248f7486981d53071f7ba4a6823e758,po_mi_x_sf23_l.dds,89677272588fc684ac59c436950dbb6ae6fff67c100054e9f281c9857a935c0d,128,256,DXT1,98322,16512
po_mi_x_sf23_m.tga,477c882ae9c62e8238fd9976afecdb3f39d1d077ab5389666d4d4a45f496ea67,po_mi_x_sf23_m.dds,56ff3f91cc08ff0f854c268cd8bfc8b872d636e170f2b75c84a09b35b936f6d4,64,128,DXT1,24620,4224
po_mi_x_sf23_s.tga,65e8e86a09b087a58671ad3d981977bb4789604d3c50a852fcf86a474e9f3d83,po_mi_x_sf23_s.dds,4f51da626b4fa3924eca733f8e20c3b7bbb986b53e5c04d1c604bb405807582d,32,64,DXT1,6162,1152
